citations_fetched,id,published,publisher,source,categories,pdf_url,doi,title,abstract,all_categories,authors,citations
True,http://arxiv.org/abs/1909.03550v1,2019-09-08T21:49:42Z,,arXiv,cs.LG,http://arxiv.org/pdf/1909.03550v1.pdf,1909.03550v1,Lecture Notes: Optimization for Machine Learning,"Lecture notes on optimization for machine learning, derived from a course at Princeton University and tutorials given in MLSS, Buenos Aires, as well as Simons Foundation, Berkeley.","cs.LG, stat.ML",Elad Hazan,[]
True,http://arxiv.org/abs/1811.04422v1,2018-11-11T14:28:34Z,,arXiv,cs.LG,http://arxiv.org/pdf/1811.04422v1.pdf,1811.04422v1,An Optimal Control View of Adversarial Machine Learning,"I describe an optimal control view of adversarial machine learning, where the dynamical system is the machine learner, the input are adversarial actions, and the control costs are defined by the adversary's goals to do harm and be hard to detect. This view encompasses many types of adversarial machine learning, including test-item attacks, training-data poisoning, and adversarial reward shaping. The view encourages adversarial machine learning researcher to utilize advances in control theory and reinforcement learning.","cs.LG, stat.ML",Xiaojin Zhu,[]
True,http://arxiv.org/abs/1707.04849v1,2017-07-16T09:15:08Z,,arXiv,cs.LG,http://arxiv.org/pdf/1707.04849v1.pdf,1707.04849v1,Minimax deviation strategies for machine learning and recognition with   short learning samples,The article is devoted to the problem of small learning samples in machine learning. The flaws of maximum likelihood learning and minimax learning are looked into and the concept of minimax deviation learning is introduced that is free of those flaws.,cs.LG,"Michail Schlesinger, Evgeniy Vodolazskiy",[]
True,http://arxiv.org/abs/1909.09246v1,2019-09-19T22:02:00Z,,arXiv,cs.LG,http://arxiv.org/pdf/1909.09246v1.pdf,1909.09246v1,Machine Learning for Clinical Predictive Analytics,"In this chapter, we provide a brief overview of applying machine learning techniques for clinical prediction tasks. We begin with a quick introduction to the concepts of machine learning and outline some of the most common machine learning algorithms. Next, we demonstrate how to apply the algorithms with appropriate toolkits to conduct machine learning experiments for clinical prediction tasks. The objectives of this chapter are to (1) understand the basics of machine learning techniques and the reasons behind why they are useful for solving clinical prediction problems, (2) understand the intuition behind some machine learning models, including regression, decision trees, and support vector machines, and (3) understand how to apply these models to clinical prediction problems using publicly available datasets via case studies.","cs.LG, stat.ML",Wei-Hung Weng,[]
True,http://arxiv.org/abs/2301.09753v1,2023-01-23T22:54:34Z,,arXiv,cs.LG,http://arxiv.org/pdf/2301.09753v1.pdf,2301.09753v1,Towards Modular Machine Learning Solution Development: Benefits and   Trade-offs,"Machine learning technologies have demonstrated immense capabilities in various domains. They play a key role in the success of modern businesses. However, adoption of machine learning technologies has a lot of untouched potential. Cost of developing custom machine learning solutions that solve unique business problems is a major inhibitor to far-reaching adoption of machine learning technologies. We recognize that the monolithic nature prevalent in today's machine learning applications stands in the way of efficient and cost effective customized machine learning solution development. In this work we explore the benefits of modular machine learning solutions and discuss how modular machine learning solutions can overcome some of the major solution engineering limitations of monolithic machine learning solutions. We analyze the trade-offs between modular and monolithic machine learning solutions through three deep learning problems; one text based and the two image based. Our experimental results show that modular machine learning solutions have a promising potential to reap the solution engineering advantages of modularity while gaining performance and data advantages in a way the monolithic machine learning solutions do not permit.","cs.LG, cs.SE","Samiyuru Menik, Lakshmish Ramaswamy",[]
True,http://arxiv.org/abs/0904.3664v1,2009-04-23T11:40:57Z,,arXiv,cs.LG,http://arxiv.org/pdf/0904.3664v1.pdf,0904.3664v1,Introduction to Machine Learning: Class Notes 67577,"Introduction to Machine learning covering Statistical Inference (Bayes, EM, ML/MaxEnt duality), algebraic and spectral methods (PCA, LDA, CCA, Clustering), and PAC learning (the Formal model, VC dimension, Double Sampling theorem).",cs.LG,Amnon Shashua,[]
True,http://arxiv.org/abs/2012.04105v1,2020-12-07T23:10:51Z,,arXiv,cs.LG,http://arxiv.org/pdf/2012.04105v1.pdf,2012.04105v1,The Tribes of Machine Learning and the Realm of Computer Architecture,"Machine learning techniques have influenced the field of computer architecture like many other fields. This paper studies how the fundamental machine learning techniques can be applied towards computer architecture problems. We also provide a detailed survey of computer architecture research that employs different machine learning methods. Finally, we present some future opportunities and the outstanding challenges that need to be overcome to exploit full potential of machine learning for computer architecture.","cs.LG, cs.AR","Ayaz Akram, Jason Lowe-Power",[]
True,http://arxiv.org/abs/2204.07492v2,2022-04-15T14:48:04Z,American Meteorological Society,arXiv,physics.ao-ph,http://arxiv.org/pdf/2204.07492v2.pdf,10.1175/waf-d-22-0070.1,"A Machine Learning Tutorial for Operational Meteorology, Part I:   Traditional Machine Learning","Recently, the use of machine learning in meteorology has increased greatly. While many machine learning methods are not new, university classes on machine learning are largely unavailable to meteorology students and are not required to become a meteorologist. The lack of formal instruction has contributed to perception that machine learning methods are 'black boxes' and thus end-users are hesitant to apply the machine learning methods in their every day workflow. To reduce the opaqueness of machine learning methods and lower hesitancy towards machine learning in meteorology, this paper provides a survey of some of the most common machine learning methods. A familiar meteorological example is used to contextualize the machine learning methods while also discussing machine learning topics using plain language. The following machine learning methods are demonstrated: linear regression; logistic regression; decision trees; random forest; gradient boosted decision trees; naive Bayes; and support vector machines. Beyond discussing the different methods, the paper also contains discussions on the general machine learning process as well as best practices to enable readers to apply machine learning to their own datasets. Furthermore, all code (in the form of Jupyter notebooks and Google Colaboratory notebooks) used to make the examples in the paper is provided in an effort to catalyse the use of machine learning in meteorology.","physics.ao-ph, cs.LG","Randy J. Chase, David R. Harrison, Amanda Burke, Gary M. Lackmann, Amy McGovern","['10.25080/majora-92bf1922-00a', '10.1117/12.795737', '10.1117/12.795570']"
True,http://arxiv.org/abs/1911.06612v1,2019-11-12T10:49:55Z,,arXiv,cs.LG,http://arxiv.org/pdf/1911.06612v1.pdf,1911.06612v1,Position Paper: Towards Transparent Machine Learning,"Transparent machine learning is introduced as an alternative form of machine learning, where both the model and the learning system are represented in source code form. The goal of this project is to enable direct human understanding of machine learning models, giving us the ability to learn, verify, and refine them as programs. If solved, this technology could represent a best-case scenario for the safety and security of AI systems going forward.",cs.LG,Dustin Juliano,[]
True,http://arxiv.org/abs/1909.01866v1,2019-09-02T20:36:19Z,,arXiv,cs.LG,http://arxiv.org/pdf/1909.01866v1.pdf,1909.01866v1,Understanding Bias in Machine Learning,"Bias is known to be an impediment to fair decisions in many domains such as human resources, the public sector, health care etc. Recently, hope has been expressed that the use of machine learning methods for taking such decisions would diminish or even resolve the problem. At the same time, machine learning experts warn that machine learning models can be biased as well. In this article, our goal is to explain the issue of bias in machine learning from a technical perspective and to illustrate the impact that biased data can have on a machine learning model. To reach such a goal, we develop interactive plots to visualizing the bias learned from synthetic data.","cs.LG, stat.ML","Jindong Gu, Daniela Oelke",[]
